sample_id,dataset,record_id,title,abstract,element_key,element_description,truth_label
S005,Jeyaraman_2020,https://openalex.org/W2124530447,Reticulated vitreous carbon: a useful material for cell adhesion and tissue invasion,"Diverse carbon materials have been used for tissue engineering and clinical implant applications with varying success. In this study, commercially available reticulated vitreous carbon (RVC) foams were tested in vitro and in vivo for compatibility with primary cell adhesion and tissue repair. Pores sizes were determined as 279 ± 98 μm. No hydroxyapatite deposition was detected after immersion of the foams in simulated body fluid. Nonetheless, RVC provided an excellent support for adhesion of mes",population,Population | Include: knee osteoarthritis; osteoarthritis of the knee; knee OA; gonarthrosis; degenerative joint disease of the knee | Exclude: hip osteoarthritis; hand osteoarthritis; spine osteoarthritis,
S005,Jeyaraman_2020,https://openalex.org/W2124530447,Reticulated vitreous carbon: a useful material for cell adhesion and tissue invasion,"Diverse carbon materials have been used for tissue engineering and clinical implant applications with varying success. In this study, commercially available reticulated vitreous carbon (RVC) foams were tested in vitro and in vivo for compatibility with primary cell adhesion and tissue repair. Pores sizes were determined as 279 ± 98 μm. No hydroxyapatite deposition was detected after immersion of the foams in simulated body fluid. Nonetheless, RVC provided an excellent support for adhesion of mes",intervention,Intervention | Include: adipose-derived mesenchymal stem cells; adipose-derived MSCs; AD-MSCs; adipose tissue-derived stromal cells; adipose stromal cells | Exclude: dental pulp stem cells; induced pluripotent stem cells; embryonic stem cells,
S005,Jeyaraman_2020,https://openalex.org/W2124530447,Reticulated vitreous carbon: a useful material for cell adhesion and tissue invasion,"Diverse carbon materials have been used for tissue engineering and clinical implant applications with varying success. In this study, commercially available reticulated vitreous carbon (RVC) foams were tested in vitro and in vivo for compatibility with primary cell adhesion and tissue repair. Pores sizes were determined as 279 ± 98 μm. No hydroxyapatite deposition was detected after immersion of the foams in simulated body fluid. Nonetheless, RVC provided an excellent support for adhesion of mes",study_design,study_design,
S006,Chou_2003,https://openalex.org/W2420372423,Irrtümliche intravenöse Adrenalininjektion,"Since a car accident a 29-year-old man had been suffering from chronic pain treated with injections of morphine and tilidine. Because of renewed worsening of pain he went to the emergency doctor who by mistake intravenously injected 1 mg of undiluted adrenaline. The patients immediately collapsed and pulmonary oedema developed.On admission he was hypotensive (85/45 mmHg) and tachycardic (135/min), respiratory rate 36/min. Moist rales were heard throughout the lung. The white cell count was eleva",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S006,Chou_2003,https://openalex.org/W2420372423,Irrtümliche intravenöse Adrenalininjektion,"Since a car accident a 29-year-old man had been suffering from chronic pain treated with injections of morphine and tilidine. Because of renewed worsening of pain he went to the emergency doctor who by mistake intravenously injected 1 mg of undiluted adrenaline. The patients immediately collapsed and pulmonary oedema developed.On admission he was hypotensive (85/45 mmHg) and tachycardic (135/min), respiratory rate 36/min. Moist rales were heard throughout the lung. The white cell count was eleva",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S006,Chou_2003,https://openalex.org/W2420372423,Irrtümliche intravenöse Adrenalininjektion,"Since a car accident a 29-year-old man had been suffering from chronic pain treated with injections of morphine and tilidine. Because of renewed worsening of pain he went to the emergency doctor who by mistake intravenously injected 1 mg of undiluted adrenaline. The patients immediately collapsed and pulmonary oedema developed.On admission he was hypotensive (85/45 mmHg) and tachycardic (135/min), respiratory rate 36/min. Moist rales were heard throughout the lung. The white cell count was eleva",study_design,study_design,
S007,Chou_2003,https://openalex.org/W2416308568,Get pragmatic about pot.,,population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S007,Chou_2003,https://openalex.org/W2416308568,Get pragmatic about pot.,,intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S007,Chou_2003,https://openalex.org/W2416308568,Get pragmatic about pot.,,study_design,study_design,
S008,Chou_2003,https://openalex.org/W2097142258,Treating Pain Patients at Risk: Evaluation of a Screening Tool in Opioid-Treated Pain Patients With and Without Addiction,"Patients receiving opioid treatment for chronic pain, many of whom were hospitalized with medical complications of substance abuse, were asked to complete a screening questionnaire to help validate a simple self-administered survey. Questions relating to tobacco abuse and prior treatment for drug and alcohol abuse distinguished patients with addiction and pain from opioid-treated chronic pain patients.",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S008,Chou_2003,https://openalex.org/W2097142258,Treating Pain Patients at Risk: Evaluation of a Screening Tool in Opioid-Treated Pain Patients With and Without Addiction,"Patients receiving opioid treatment for chronic pain, many of whom were hospitalized with medical complications of substance abuse, were asked to complete a screening questionnaire to help validate a simple self-administered survey. Questions relating to tobacco abuse and prior treatment for drug and alcohol abuse distinguished patients with addiction and pain from opioid-treated chronic pain patients.",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S008,Chou_2003,https://openalex.org/W2097142258,Treating Pain Patients at Risk: Evaluation of a Screening Tool in Opioid-Treated Pain Patients With and Without Addiction,"Patients receiving opioid treatment for chronic pain, many of whom were hospitalized with medical complications of substance abuse, were asked to complete a screening questionnaire to help validate a simple self-administered survey. Questions relating to tobacco abuse and prior treatment for drug and alcohol abuse distinguished patients with addiction and pain from opioid-treated chronic pain patients.",study_design,study_design,
S009,Chou_2003,https://openalex.org/W11037936,Aspects of the problems in treating chronic pain: Florida pain management guidelines.,,population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S009,Chou_2003,https://openalex.org/W11037936,Aspects of the problems in treating chronic pain: Florida pain management guidelines.,,intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S009,Chou_2003,https://openalex.org/W11037936,Aspects of the problems in treating chronic pain: Florida pain management guidelines.,,study_design,study_design,
S010,Chou_2003,https://openalex.org/W62554526,Rhabdomyolysis-induced acute renal failure after morphine overdose--a case report.,"The 39-year-old male in this report was a victim of C4 spinal cord injury for 7 years. He was regularly followed up at our pain clinic and psychiatric out-patient department (OPD) for treatment of his chronic pain with morphine, anticonvulsant and sedatives. At the night of December 15, 1997, he took approximately 0.1 gm of morphine and a certain number of flurazepam pills. On the next day, he experienced numbness and paresis in both legs in association with painful swelling of both thighs. Then",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S010,Chou_2003,https://openalex.org/W62554526,Rhabdomyolysis-induced acute renal failure after morphine overdose--a case report.,"The 39-year-old male in this report was a victim of C4 spinal cord injury for 7 years. He was regularly followed up at our pain clinic and psychiatric out-patient department (OPD) for treatment of his chronic pain with morphine, anticonvulsant and sedatives. At the night of December 15, 1997, he took approximately 0.1 gm of morphine and a certain number of flurazepam pills. On the next day, he experienced numbness and paresis in both legs in association with painful swelling of both thighs. Then",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S010,Chou_2003,https://openalex.org/W62554526,Rhabdomyolysis-induced acute renal failure after morphine overdose--a case report.,"The 39-year-old male in this report was a victim of C4 spinal cord injury for 7 years. He was regularly followed up at our pain clinic and psychiatric out-patient department (OPD) for treatment of his chronic pain with morphine, anticonvulsant and sedatives. At the night of December 15, 1997, he took approximately 0.1 gm of morphine and a certain number of flurazepam pills. On the next day, he experienced numbness and paresis in both legs in association with painful swelling of both thighs. Then",study_design,study_design,
S011,Chou_2003,https://openalex.org/W2143938223,Mechanisms of action of intrathecal medications,Intrathecal delivery of medications for the management of chronic pain syndromes reflects a modern targeted delivery system with the potential for even greater efficacy than is outlined in Tables 1 and 2. The twentieth century ushered in the development of parenteral approaches of medical therapy for chronic pain and other diseases that were superior to the traditional oral delivery methods known in the preceding century. Targeted drug delivery represents a significant advancement in the treatme,population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S011,Chou_2003,https://openalex.org/W2143938223,Mechanisms of action of intrathecal medications,Intrathecal delivery of medications for the management of chronic pain syndromes reflects a modern targeted delivery system with the potential for even greater efficacy than is outlined in Tables 1 and 2. The twentieth century ushered in the development of parenteral approaches of medical therapy for chronic pain and other diseases that were superior to the traditional oral delivery methods known in the preceding century. Targeted drug delivery represents a significant advancement in the treatme,intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S011,Chou_2003,https://openalex.org/W2143938223,Mechanisms of action of intrathecal medications,Intrathecal delivery of medications for the management of chronic pain syndromes reflects a modern targeted delivery system with the potential for even greater efficacy than is outlined in Tables 1 and 2. The twentieth century ushered in the development of parenteral approaches of medical therapy for chronic pain and other diseases that were superior to the traditional oral delivery methods known in the preceding century. Targeted drug delivery represents a significant advancement in the treatme,study_design,study_design,
S012,Chou_2003,https://openalex.org/W2074462228,Custom-made capsules and suppositories of methadone for patients on high-dose opioids for cancer pain,"In a prospective, open study, 37 advanced cancer patients in poor pain control receiving high doses of subcutaneous hydromorphone (mean daily dose: 276 +/- 163 mg) were switched to methadone by use of custom-made capsules (21 patients) or suppositories (16 patients). The change in opioid took place over 6.5 +/- 3.6 days (oral) and 3.2 +/- 2.7 days (rectal). The methadone/hydromorphone dose ratios were 1.2 +/- 1.3 and 3 +/- 2 for the oral and rectal routes, respectively (P = 0.03) as compared to ",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S012,Chou_2003,https://openalex.org/W2074462228,Custom-made capsules and suppositories of methadone for patients on high-dose opioids for cancer pain,"In a prospective, open study, 37 advanced cancer patients in poor pain control receiving high doses of subcutaneous hydromorphone (mean daily dose: 276 +/- 163 mg) were switched to methadone by use of custom-made capsules (21 patients) or suppositories (16 patients). The change in opioid took place over 6.5 +/- 3.6 days (oral) and 3.2 +/- 2.7 days (rectal). The methadone/hydromorphone dose ratios were 1.2 +/- 1.3 and 3 +/- 2 for the oral and rectal routes, respectively (P = 0.03) as compared to ",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S012,Chou_2003,https://openalex.org/W2074462228,Custom-made capsules and suppositories of methadone for patients on high-dose opioids for cancer pain,"In a prospective, open study, 37 advanced cancer patients in poor pain control receiving high doses of subcutaneous hydromorphone (mean daily dose: 276 +/- 163 mg) were switched to methadone by use of custom-made capsules (21 patients) or suppositories (16 patients). The change in opioid took place over 6.5 +/- 3.6 days (oral) and 3.2 +/- 2.7 days (rectal). The methadone/hydromorphone dose ratios were 1.2 +/- 1.3 and 3 +/- 2 for the oral and rectal routes, respectively (P = 0.03) as compared to ",study_design,study_design,
S013,Chou_2003,https://openalex.org/W2147679514,"Effect of ketorolac on bleeding time and postoperative pain in children: a double-blind, placebo-controlled comparison with meperidine","To determine whether ketorolac 0.75 mg/kg would provide a comparable degree of analgesia to that of meperidine 1 mg/kg in terms of postoperative opioid requirements and pain scores in children undergoing surgeries associated with mild to moderate postsurgical discomfort.Randomized, prospective, placebo-controlled, double-blinded study of the initial 6 postsurgical hours.University affiliated teaching hospital.90 healthy ASA status I and II children scheduled for elective general, orthopedic, or ",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S013,Chou_2003,https://openalex.org/W2147679514,"Effect of ketorolac on bleeding time and postoperative pain in children: a double-blind, placebo-controlled comparison with meperidine","To determine whether ketorolac 0.75 mg/kg would provide a comparable degree of analgesia to that of meperidine 1 mg/kg in terms of postoperative opioid requirements and pain scores in children undergoing surgeries associated with mild to moderate postsurgical discomfort.Randomized, prospective, placebo-controlled, double-blinded study of the initial 6 postsurgical hours.University affiliated teaching hospital.90 healthy ASA status I and II children scheduled for elective general, orthopedic, or ",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S013,Chou_2003,https://openalex.org/W2147679514,"Effect of ketorolac on bleeding time and postoperative pain in children: a double-blind, placebo-controlled comparison with meperidine","To determine whether ketorolac 0.75 mg/kg would provide a comparable degree of analgesia to that of meperidine 1 mg/kg in terms of postoperative opioid requirements and pain scores in children undergoing surgeries associated with mild to moderate postsurgical discomfort.Randomized, prospective, placebo-controlled, double-blinded study of the initial 6 postsurgical hours.University affiliated teaching hospital.90 healthy ASA status I and II children scheduled for elective general, orthopedic, or ",study_design,study_design,
S014,Chou_2003,https://openalex.org/W2020503800,NEUROPATHIC PAIN: A CONDITION WHICH IS NOT ALWAYS WELL APPRECIATED,,population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S014,Chou_2003,https://openalex.org/W2020503800,NEUROPATHIC PAIN: A CONDITION WHICH IS NOT ALWAYS WELL APPRECIATED,,intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S014,Chou_2003,https://openalex.org/W2020503800,NEUROPATHIC PAIN: A CONDITION WHICH IS NOT ALWAYS WELL APPRECIATED,,study_design,study_design,
S015,Chou_2003,https://openalex.org/W2054167503,A Prospective Study of Long-term Intrathecal Morphine in the Management of Chronic Nonmalignant Pain,"To examine in a prospective manner the long-term safety and efficacy of chronic intrathecal morphine in patients with severe, nonmalignant pain refractory to less invasive modalities.Forty patients with severe, chronic nonmalignant pain poorly managed by systemic medications were identified as candidates for intraspinal trial of morphine. Thirty participants reported successful pain relief during trial and were implanted with an intraspinal delivery system. Standardized measures of pain and func",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S015,Chou_2003,https://openalex.org/W2054167503,A Prospective Study of Long-term Intrathecal Morphine in the Management of Chronic Nonmalignant Pain,"To examine in a prospective manner the long-term safety and efficacy of chronic intrathecal morphine in patients with severe, nonmalignant pain refractory to less invasive modalities.Forty patients with severe, chronic nonmalignant pain poorly managed by systemic medications were identified as candidates for intraspinal trial of morphine. Thirty participants reported successful pain relief during trial and were implanted with an intraspinal delivery system. Standardized measures of pain and func",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S015,Chou_2003,https://openalex.org/W2054167503,A Prospective Study of Long-term Intrathecal Morphine in the Management of Chronic Nonmalignant Pain,"To examine in a prospective manner the long-term safety and efficacy of chronic intrathecal morphine in patients with severe, nonmalignant pain refractory to less invasive modalities.Forty patients with severe, chronic nonmalignant pain poorly managed by systemic medications were identified as candidates for intraspinal trial of morphine. Thirty participants reported successful pain relief during trial and were implanted with an intraspinal delivery system. Standardized measures of pain and func",study_design,study_design,
S016,Chou_2003,https://openalex.org/W2087545962,Long-Term Administration of Controlled-Release Oxycodone Tablets for the Treatment of Cancer Pain,"We conducted a study of the safety of controlled-release (CR) oxycodone tablets (OxyContin Tablets) administered chronically to patients with cancer-related pain in a usual clinical setting. These patients had participated in 1 of 2 double-blind, active-control studies. Our study was an open, 3-month treatment study that included 87 patients. Patients received CR oxycodone tablets every 12 hr in a manner that reflected typical clinical practice. Supplemental immediate-release (IR) oxycodone was ",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S016,Chou_2003,https://openalex.org/W2087545962,Long-Term Administration of Controlled-Release Oxycodone Tablets for the Treatment of Cancer Pain,"We conducted a study of the safety of controlled-release (CR) oxycodone tablets (OxyContin Tablets) administered chronically to patients with cancer-related pain in a usual clinical setting. These patients had participated in 1 of 2 double-blind, active-control studies. Our study was an open, 3-month treatment study that included 87 patients. Patients received CR oxycodone tablets every 12 hr in a manner that reflected typical clinical practice. Supplemental immediate-release (IR) oxycodone was ",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S016,Chou_2003,https://openalex.org/W2087545962,Long-Term Administration of Controlled-Release Oxycodone Tablets for the Treatment of Cancer Pain,"We conducted a study of the safety of controlled-release (CR) oxycodone tablets (OxyContin Tablets) administered chronically to patients with cancer-related pain in a usual clinical setting. These patients had participated in 1 of 2 double-blind, active-control studies. Our study was an open, 3-month treatment study that included 87 patients. Patients received CR oxycodone tablets every 12 hr in a manner that reflected typical clinical practice. Supplemental immediate-release (IR) oxycodone was ",study_design,study_design,
S017,Chou_2003,https://openalex.org/W2010838903,Effects of intravenous methylnaltrexone on opioid-induced gut motility and transit time changes in subjects receiving chronic methadone therapy: a pilot study ☆,"In this preliminary study, we evaluated the effects of methylnaltrexone, a peripheral opioid-receptor antagonist, on chronic opioid-induced gut motility and transit changes in four subjects with chronic methadone-induced constipation. Subjects participated in this single blind, placebo controlled study for up to 8 days. We gave placebo the first day; for the remainder of the study, we gave intravenous methylnaltrexone (0.05-0.45 mg/kg) twice daily. During the study period, we recorded oral-cecal",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S017,Chou_2003,https://openalex.org/W2010838903,Effects of intravenous methylnaltrexone on opioid-induced gut motility and transit time changes in subjects receiving chronic methadone therapy: a pilot study ☆,"In this preliminary study, we evaluated the effects of methylnaltrexone, a peripheral opioid-receptor antagonist, on chronic opioid-induced gut motility and transit changes in four subjects with chronic methadone-induced constipation. Subjects participated in this single blind, placebo controlled study for up to 8 days. We gave placebo the first day; for the remainder of the study, we gave intravenous methylnaltrexone (0.05-0.45 mg/kg) twice daily. During the study period, we recorded oral-cecal",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
S017,Chou_2003,https://openalex.org/W2010838903,Effects of intravenous methylnaltrexone on opioid-induced gut motility and transit time changes in subjects receiving chronic methadone therapy: a pilot study ☆,"In this preliminary study, we evaluated the effects of methylnaltrexone, a peripheral opioid-receptor antagonist, on chronic opioid-induced gut motility and transit changes in four subjects with chronic methadone-induced constipation. Subjects participated in this single blind, placebo controlled study for up to 8 days. We gave placebo the first day; for the remainder of the study, we gave intravenous methylnaltrexone (0.05-0.45 mg/kg) twice daily. During the study period, we recorded oral-cecal",study_design,study_design,
S018,Chou_2003,https://openalex.org/W2030659020,Transdermal fentanyl for the management of cancer pain: a survey of 1005 patients,"Transdermal fentanyl was released in Germany in 1995. From October 1996 to February 1998 transdermal treatment was documented for 1005 patients (506 men and 499 women with a mean age of 60 years, range 20–92 years) with chronic pain in an open survey including 290 physicians from hospitals and general practitioners throughout Germany. Most patients suffered from cancer pain and only 11 patients had chronic pain from non-malignant disease. Physicians were asked to complete a questionnaire for pat",population,Population | Include: Chronic non-cancer pain; Chronic non-malignant pain; Chronic pain; Persistent pain; Chronic musculoskeletal pain | Exclude: Cancer pain; Palliative care; End-of-life care,
S018,Chou_2003,https://openalex.org/W2030659020,Transdermal fentanyl for the management of cancer pain: a survey of 1005 patients,"Transdermal fentanyl was released in Germany in 1995. From October 1996 to February 1998 transdermal treatment was documented for 1005 patients (506 men and 499 women with a mean age of 60 years, range 20–92 years) with chronic pain in an open survey including 290 physicians from hospitals and general practitioners throughout Germany. Most patients suffered from cancer pain and only 11 patients had chronic pain from non-malignant disease. Physicians were asked to complete a questionnaire for pat",intervention,"Intervention | Include: Long-acting oral opioids; Extended-release oral opioids; Sustained-release oral opioids; Controlled-release oral opioids; Morphine, extended release | Exclude: Short-acting opioids; Immediate-release opioids; Transdermal opioids",
