dataset,ranker,n_total,n_includes,auto_include_count,auto_include_tp,safety_queue_count,reachable_095,verified_work_095,queue_only_work_095,queue_prefix_095,reachable_098,verified_work_098,queue_only_work_098,queue_prefix_098,reachable_0985,verified_work_0985,queue_only_work_0985,queue_prefix_0985,reachable_099,verified_work_099,queue_only_work_099,queue_prefix_099
Wolters_2018,fusion,4272,19,21,7,4251,True,3736,3715,3715,True,3736,3715,3715,True,3736,3715,3715,True,3736,3715,3715
van_de_Schoot_2018,fusion,4538,38,2,0,4536,True,4088,4086,4086,True,4179,4177,4177,True,4179,4177,4177,True,4179,4177,4177
Bos_2018,fusion,4878,10,32,8,4846,True,328,296,296,True,328,296,296,True,328,296,296,True,328,296,296
Moran_2021,fusion,5199,111,21,0,5178,True,5079,5058,5058,True,5113,5092,5092,True,5155,5134,5134,True,5155,5134,5134
Leenaars_2019,fusion,5767,17,10,0,5757,True,108,98,98,True,108,98,98,True,108,98,98,True,108,98,98
Radjenovic_2013,fusion,5935,48,807,48,5128,True,807,0,0,True,807,0,0,True,807,0,0,True,807,0,0
Leenaars_2020,fusion,7169,582,947,280,6222,True,3857,2910,2910,True,4535,3588,3588,True,4840,3893,3893,True,5209,4262,4262
Wassenaar_2017,fusion,7657,111,33,16,7624,True,3409,3376,3376,True,6164,6131,6131,True,6468,6435,6435,True,6468,6435,6435
Hall_2012,fusion,8793,104,208,96,8585,True,435,227,227,True,599,391,391,True,776,568,568,True,776,568,568
van_Dis_2020,fusion,9114,72,326,33,8788,True,3351,3025,3025,True,4933,4607,4607,True,4933,4607,4607,True,8789,8463,8463
Brouwer_2019,fusion,38076,62,728,36,37348,True,6374,5646,5646,True,8886,8158,8158,True,26158,25430,25430,True,26158,25430,25430
Walker_2018,fusion,48153,759,506,187,47647,True,37327,36821,36821,True,38868,38362,38362,True,38958,38452,38452,True,39436,38930,38930
